Name,DOI,Document link,Publication Year,Rank,Status,Type,Venue,🔬 Progetto di ricerca
Bridging Climbing and Interactive Smart Spaces for Children,https://doi.org/10.1145/3770646,,2025,Q1,Accepted,Full,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",Active3 (https://www.notion.so/Active3-11307aadc6b080c08361f3bae262932a?pvs=21)
Remote Screening for Developmental Language Disorder in Bilingual Children: Preliminary Validation in Spanish–Italian Speaking Preschool Children,https://doi.org/10.3390/app13031442,,2023,Q2,Accepted,Full,Applied Sciences,
Remote Dyslexia Screening for Bilingual Children,https://doi.org/10.3390/mti6010007,,2022,Q2,Accepted,Full,Multimodal Technologies and Interaction,
Multisensory Climbing in the Magic Room,https://doi.org/10.1007/978-3-031-42293-5_68,,2023,B,Accepted,Poster,Human-Computer Interaction – INTERACT 2023,Active3 (https://www.notion.so/Active3-11307aadc6b080c08361f3bae262932a?pvs=21)
Magic climbing (A vs A*),,https://www.overleaf.com/project/6722579f795d6f7c4cafdb1b,,,Writing,,International Journal of Human Computer Studies,Active3 (https://www.notion.so/Active3-11307aadc6b080c08361f3bae262932a?pvs=21)
Valutazione pulsantiera vs tavolino,,,,,Not started,,,Magiko ritmo (https://www.notion.so/Magiko-ritmo-2d4ef7a6299c4665bc2618f8dc768583?pvs=21)
Valutazione tavolino vs full-body,,,,,Not started,,,Magiko ritmo (https://www.notion.so/Magiko-ritmo-2d4ef7a6299c4665bc2618f8dc768583?pvs=21)
Multi-person real-time body tracking with Google Mediapipe,,,,,Not started,,,Motion tracking (https://www.notion.so/Motion-tracking-11307aadc6b0803b905ff0d565c815ae?pvs=21)
Refining multi-person body tracking accuracy with a control-based approach,,,,,Not started,,,Motion tracking (https://www.notion.so/Motion-tracking-11307aadc6b0803b905ff0d565c815ae?pvs=21)
Evaluating the usability of TTS a standalone tool to generate voices,,,,,Not started,,,Vocal interfaces in multisensory settings (https://www.notion.so/Vocal-interfaces-in-multisensory-settings-13d07aadc6b0806cbea5e48661dc49d5?pvs=21)
Comparing the accuracy of a STT with human recognizer in a quiz-like activity,,,,,Not started,,,Vocal interfaces in multisensory settings (https://www.notion.so/Vocal-interfaces-in-multisensory-settings-13d07aadc6b0806cbea5e48661dc49d5?pvs=21)
"Validazione della ""adeguatezza"" delle storie generate",,,,,Collecting data,,,Generative AI in MSE (https://www.notion.so/Generative-AI-in-MSE-17c07aadc6b080c8918ac6520f6bee18?pvs=21)
Studio di usabilità e valutazione dell’efficacia per pre-esposizione a fattori di stress E/O sviluppo di skill,,,,,Not started,,,Generative AI in MSE (https://www.notion.so/Generative-AI-in-MSE-17c07aadc6b080c8918ac6520f6bee18?pvs=21)
"Supporting Children with Linguistic Vulnerabilities Through Advanced, Theory-Driven Technological Solutions: The TELMÌ Approach for Italian children with DLD and Children with Italian as L2",https://doi.org/10.6092/unibo/amsacta/8380,,2025,C,Accepted,Short,Proceedings del XIV Convegno Annuale AIUCD2025,
FantasIA: poster/short paper per presentare il concept,,,,,Writing,,AVI 2026,Generative AI in MSE (https://www.notion.so/Generative-AI-in-MSE-17c07aadc6b080c8918ac6520f6bee18?pvs=21)
TTS: poster di User Study con voci terapisti,,,,,Collecting data,,,Vocal interfaces in multisensory settings (https://www.notion.so/Vocal-interfaces-in-multisensory-settings-13d07aadc6b0806cbea5e48661dc49d5?pvs=21)
Magiko ritmo: poster presentazione concept,,,,,Writing,,,Magiko ritmo (https://www.notion.so/Magiko-ritmo-2d4ef7a6299c4665bc2618f8dc768583?pvs=21)
Review LLM,,,,,Collecting data,,,
Stress@Work poster,,,,C,Accepted,Poster,,
Stress@Work paper,,,,,Writing,,,
